ID,Predicted
5,0.052
7,0.016
8,0.026
14,0.028
16,0.028
17,0.026
21,0.012
26,0.68
28,0
30,0.008
31,0.026
38,0.058
42,0
53,0.04
55,0.002
64,0.004
65,0.022
79,0.031
81,0
91,0
92,0.162
117,0.004
137,0.002
139,0.058
155,0.04
157,0.018
166,0
168,0.186
182,0.144
187,0.044
206,0.024
213,0
218,0.002
221,0
231,0.004
234,0.011333333333333334
236,0.002
246,0
255,0
261,0
263,0.768
264,0.002
270,0
273,0.012
285,0
287,0.028
289,0.008
304,0.1
314,0.092
320,0.014
321,0.08
322,0.092
324,0.146
326,0.024
327,0.04
337,0
343,0
345,0.002
353,0.074
354,0.004
355,0.062
358,0.006
363,0
366,0.014
367,0
368,0.004
377,0
382,0.036
384,0
385,0
390,0.03
399,0.06
401,0.002
404,0.156
405,0.012
406,0.004
408,0.076
421,0.01
433,0
435,0
436,0
437,0.002
445,0.018
452,0.05
455,0
457,0.028
459,0.05
462,0.002
463,0.02
469,0
473,0.014
476,0
486,0.006
488,0
512,0.002
514,0.004
518,0.004
524,0.004
527,0.708
538,0
539,0.094
549,0
550,0.12
551,0.002
552,0.006
555,0.002
558,0.026
564,0
573,0.012
577,0.034
582,0.004
584,0.003
593,0.014
602,0
606,0
609,0
623,0.012
625,0.234
626,0
632,0.036
646,0.002
652,0.004
653,0.016
659,0
660,0.016
664,0
671,0
675,0.006
679,0
685,0.004
695,0
697,0.016
698,0
699,0.003
701,0.002
702,0.006
708,0
711,0
713,0.006
718,0
720,0.056
721,0.01
724,0.002
725,0
726,0.02
729,0
730,0
737,0
740,0
744,0
750,0
751,0
753,0.006
763,0
764,0.002
770,0.022
779,0.002
782,0.056
784,0
788,0.004
791,0
793,0
797,0.002
799,0.012
801,0.648
813,0.002
818,0.002
826,0.026
833,0
835,0.066
848,0
850,0
867,0.002
869,0.012
876,0.006
877,0.058
882,0
894,0.04
906,0.002
907,0.004
912,0
914,0.01
918,0.844
919,0
921,0.06
923,0.002
938,0.026
941,0.04
943,0.018
948,0.014
955,0
960,0.164
964,0.06
966,0
973,0.056
976,0.034
988,0.022
990,0.216
991,0
998,0.006
999,0
1001,0
1003,0
1004,0.018
1007,0
1011,0.004
1012,0.024
1015,0
1026,0.034
1032,0
1037,0.03
1054,0
1055,0
1061,0.008
1069,0.578
1074,0
1077,0
1087,0.006
1092,0
1094,0
1097,0.008
1098,0.008
1104,0
1112,0
1127,0.002
1138,0
1152,0.01
1155,0
1159,0
1160,0.836
1162,0
1165,0
1168,0.006
1179,0.008
1194,0
1203,0.006
1207,0.002
1210,0
1212,0
1214,0.056
1215,0
1225,0.006
1227,0.012
1229,0
1231,0.008
1250,0
1251,0
1255,0
1256,0
1262,0.006
1274,0
1275,0
1277,0
1279,0.002
1282,0.002
1285,0
1286,0
1290,0.002
1296,0.03
1297,0
1300,0
1301,0
1303,0.028
1310,0.564
1325,0.012
1331,0.004
1337,0
1341,0.002
1342,0.01
1346,0
1348,0.002
1352,0.012
1356,0.016
1359,0.054
1367,0.172
1371,0.028
1373,0
1374,0.006
1376,0.002
1381,0.004
1393,0
1394,0.008
1399,0
1400,0
1404,0.028
1406,0.012
1418,0.002
1428,0
1440,0.056
1441,0.014
1443,0
1457,0
1465,0
1468,0.004
1479,0.002
1481,0.002
1491,0.002
1496,0.014
1498,0.202
1502,0.002
1514,0
1516,0
1519,0.036
1520,0
1528,0.014
1529,0.04
1530,0
1531,0.078
1534,0
1536,0
1537,0.002
1551,0.016
1553,0.018
1554,0.032
1559,0.008
1572,0
1576,0.006
1581,0
1584,0
1587,0.004
1589,0.026
1593,0.018
1596,0
1601,0
1618,0
1620,0
1624,0.12
1637,0
1643,0.026
1652,0.002
1666,0
1670,0
1678,0.004
1693,0
1694,0
1696,0.004
1699,0.006
1702,0.012
1714,0.002
1719,0.002
1720,0.002
1735,0
1736,0.004
1738,0.006
1748,0.01
1749,0.002
1757,0
1758,0
1771,0.358
1778,0
1780,0.008
1798,0.006
1803,0
1810,0.272
1814,0.014
1819,0
1823,0.736
1825,0
1828,0.014
1840,0.004
1843,0
1845,0.08
1848,0.192
1865,0.394
1866,0
1867,0.006
1868,0
1881,0.016
1886,0
1887,0.456
1889,0.03
1892,0.054
1898,0.38
1900,0.07
1901,0
1902,0.008
1904,0
1912,0.036333333333333336
1913,0
1918,0
1919,0.002
1920,0.018
1926,0.01
1929,0.814
1939,0
1951,0
1952,0.792
1953,0.008
1954,0.812
1958,0.006
1963,0
1966,0
1967,0
1969,0
1973,0
1990,0
1996,0.016
2006,0
2009,0
2036,0.05
2045,0.002
2049,0
2052,0.004
2055,0
2056,0.78
2067,0
2087,0
2088,0
2094,0
2100,0.262
2107,0
2112,0.006
2113,0
2116,0
2126,0.07
2127,0.008
2130,0
2132,0.004
2135,0
2136,0.008
2138,0
2140,0.008
2149,0
2156,0
2159,0
2165,0.024
2167,0.018
2169,0.002
2181,0
2187,0.006
2190,0
2192,0.548
2195,0.002
2197,0
2200,0.032
2204,0
2205,0
2214,0.002
2219,0
2222,0.034
2225,0.004
2227,0.002
2234,0
2237,0
2244,0
2252,0.006
2258,0
2260,0
2275,0
2277,0
2284,0.004
2288,0.202
2291,0
2294,0.678
2296,0.002
2299,0.068
2305,0.002
2306,0
2315,0
2316,0.016
2322,0
2331,0
2333,0.03
2334,0
2348,0
2354,0
2359,0.022
2366,0.124
2371,0
2377,0.008
2380,0.744
2381,0.012
2387,0
2388,0.004
2392,0
2403,0.014
2405,0
2413,0.002
2422,0.028
2430,0
2432,0.026
2434,0
2461,0.248
2472,0
2475,0.25
2487,0.004
2488,0.018
2490,0
2492,0.264
2495,0.014
2501,0
2508,0
2513,0
2516,0.022
2517,0.132
2521,0
2524,0.018
2532,0.002
2537,0.016
2543,0.514
2544,0
2553,0.01
2555,0
2558,0
2560,0
2567,0.628
2568,0.02
2572,0
2580,0
2581,0.128
2587,0.012
2595,0
2600,0.034
2602,0.028
2603,0.03
2615,0.014
2621,0
2631,0.092
2633,0.028
2636,0.006
2638,0
2640,0.004
2641,0.798
2646,0.124
2654,0.008
2658,0.01
2672,0.014
2684,0
2687,0
2689,0
2692,0.114
2699,0.006
2702,0
2713,0
2720,0
2734,0.006
2738,0.868
2744,0.37
2748,0
2755,0.002
2756,0.012
2761,0.042
2765,0
2766,0.006
2770,0
2772,0.004
2778,0.022
2784,0
2788,0.242
2795,0.002
2808,0.034
2809,0
2811,0.248
2819,0.01
2832,0.008
2834,0
2835,0
2845,0.092
2847,0
2851,0.002
2872,0
2876,0
2877,0.082
2887,0.002
2888,0
2893,0
2894,0.002
2902,0
2916,0.136
2926,0
2927,0.004
2937,0.004
2938,0.044
2940,0
2952,0
2953,0
2958,0.892
2962,0.012
2965,0.06
2966,0.82
2967,0.826
2971,0.016
2976,0
2981,0
2988,0
2990,0.002
2997,0.004
3009,0
3013,0
3014,0.086
3016,0.1
3019,0.022
3026,0
3030,0
3033,0.042
3051,0.002
3055,0
3058,0.004
3065,0.02
3070,0
3080,0.004
3082,0
3083,0
3086,0.002
3087,0.014
3090,0.06
3098,0.002
3101,0.014
3106,0.268
3107,0
3109,0.004
3110,0.088
3112,0
3118,0.002
3120,0.01
3123,0.122
3128,0
3131,0.07
3134,0
3135,0
3138,0.006
3143,0.038
3145,0
3148,0
3154,0
3164,0
3172,0
3181,0
3187,0.002
3193,0.008
3195,0
3197,0.046
3204,0
3205,0.002
3206,0.02
3214,0
3220,0
3221,0.08
3222,0.16
3223,0.006
3224,0.098
3227,0
3228,0
3234,0.024
3238,0
3244,0.014
3246,0
3252,0
3257,0
3259,0
3264,0
3275,0.394
3277,0
3288,0.136
3292,0
3300,0.006
3302,0
3313,0
3316,0
3319,0.354
3323,0.004
3325,0
3329,0
3331,0
3334,0
3339,0
3340,0.006
3341,0
3343,0.002
3344,0.004
3351,0.026
3358,0
3363,0.004
3364,0
3365,0
3371,0.012
3378,0
3379,0
3389,0
3391,0
3394,0.144
3405,0
3406,0.016
3409,0
3416,0.086
3423,0.008
3429,0.002
3431,0.016
3437,0.002
3442,0.026
3448,0
3452,0.422
3454,0
3465,0
3474,0.008
3475,0.36
3482,0
3486,0
3487,0
3493,0.006
3510,0.01
3524,0
3528,0
3534,0
3539,0
3544,0
3549,0.64
3550,0
3551,0.006
3556,0.002
3558,0.008
3568,0.02
3581,0.02
3585,0.008
3586,0.002
3598,0
3602,0.002
3610,0
3611,0
3613,0.552
3616,0.042
3619,0.076
3621,0
3626,0.002
3638,0.792
3643,0.018
3645,0.012
3647,0.502
3655,0
3661,0
3663,0
3672,0
3673,0
3674,0.002
3686,0.034
3687,0.002
3695,0.002
3699,0.004
3701,0.006
3703,0
3705,0
3708,0
3716,0
3718,0.004
3723,0.002
3725,0.006
